filename,latency
32a.sql,66.98
31b.sql,3229.106
16d.sql,13395.15
29c.sql,10784.1
3c.sql,32455.47
23c.sql,98873.242
6b.sql,12059.372
11d.sql,69747.202
10b.sql,2069.537
10c.sql,324.993
13b.sql,8337.371
26a.sql,243.73
8b.sql,273.443
6a.sql,170.197
28c.sql,9.895
3a.sql,313.469
11c.sql,0.014
9b.sql,280.121
33b.sql,0.08
29b.sql,185.434
13a.sql,11.742
17e.sql,14678.786
23b.sql,783.381
15c.sql,17389.455
17d.sql,739.035
30a.sql,8923.856
2c.sql,1096.753
9d.sql,460.111
22b.sql,2755.035
5c.sql,2677.622
27b.sql,0.011
17a.sql,2402.741
15d.sql,6250.654
21a.sql,0.011
12b.sql,167.316
1c.sql,155.033
12a.sql,1138.841
14b.sql,337.46
6f.sql,24743.934
4a.sql,2631.548
8c.sql,562.821
19d.sql,446.376
19c.sql,494.247
10a.sql,355.902
5b.sql,475.737
1b.sql,161.622
2b.sql,1151.978
1a.sql,167.573
13d.sql,27.328
17f.sql,2226.754
6e.sql,18.939
8a.sql,311.257
32b.sql,606.166
21b.sql,0.011
24b.sql,70.216
16b.sql,3730.108
25c.sql,1039.278
25b.sql,1486.009
9a.sql,476.089
23a.sql,821.678
30b.sql,1135.646
18c.sql,933.791
1d.sql,146.085
19a.sql,446.051
21c.sql,0.011
16c.sql,640.844
20b.sql,258.726
17c.sql,660.408
27c.sql,0.031
20c.sql,274.698
11b.sql,144.835
33c.sql,28.425
29a.sql,66.255
12c.sql,1799.477
9c.sql,494.896
20a.sql,266.882
4c.sql,2188.842
15b.sql,100.771
25a.sql,772.316
6d.sql,1028.27
7c.sql,49.297
22d.sql,1167.508
27a.sql,0.036
28b.sql,768.899
3b.sql,201.062
19b.sql,310.472
28a.sql,638.969
7a.sql,26.68
18b.sql,222.923
18a.sql,882.764
31c.sql,70.975
31a.sql,53.411
22c.sql,511.518
4b.sql,165.358
11a.sql,0.011
6c.sql,18.5
2a.sql,1171.984
26b.sql,269.594
22a.sql,504.297
13c.sql,907.457
30c.sql,51.037
7b.sql,31.398
15a.sql,1474.112
33a.sql,49.081
16a.sql,383.1
26c.sql,256.603
17b.sql,661.043
14a.sql,504.105
14c.sql,548.763
2d.sql,1440.002
8d.sql,562.468
24a.sql,3442.646
5a.sql,486.741
